ID,Department,Assigned_Floor,Assigned_Table,Assigned_Seat
120,Dept_B,Offsite,,
121,Dept_B,Offsite,,
122,Dept_B,Offsite,,
123,Dept_B,Offsite,,
124,Dept_B,2,6.0,36.0
125,Dept_B,Offsite,,
126,Dept_B,Offsite,,
127,Dept_B,Offsite,,
128,Dept_B,Offsite,,
129,Dept_B,Offsite,,
130,Dept_B,Offsite,,
131,Dept_B,Offsite,,
132,Dept_B,Offsite,,
133,Dept_B,Offsite,,
134,Dept_B,Offsite,,
135,Dept_B,2,7.0,39.0
136,Dept_B,Offsite,,
137,Dept_B,2,3.0,16.0
138,Dept_B,Offsite,,
139,Dept_B,Offsite,,
140,Dept_B,Offsite,,
141,Dept_B,Offsite,,
142,Dept_B,Offsite,,
143,Dept_B,Offsite,,
144,Dept_B,2,2.0,10.0
145,Dept_B,Offsite,,
146,Dept_B,Offsite,,
147,Dept_B,Offsite,,
148,Dept_B,Offsite,,
149,Dept_B,Offsite,,
150,Dept_B,Offsite,,
151,Dept_B,Offsite,,
152,Dept_B,Offsite,,
153,Dept_B,Offsite,,
154,Dept_B,2,5.0,25.0
155,Dept_B,Offsite,,
156,Dept_B,2,4.0,24.0
157,Dept_B,Offsite,,
158,Dept_B,Offsite,,
159,Dept_B,Offsite,,
160,Dept_B,Offsite,,
161,Dept_B,Offsite,,
162,Dept_B,Offsite,,
163,Dept_B,2,6.0,34.0
164,Dept_B,Offsite,,
165,Dept_B,Offsite,,
166,Dept_B,Offsite,,
167,Dept_B,Offsite,,
168,Dept_B,Offsite,,
169,Dept_B,Offsite,,
170,Dept_B,Offsite,,
171,Dept_B,Offsite,,
172,Dept_B,Offsite,,
173,Dept_B,Offsite,,
174,Dept_B,Offsite,,
175,Dept_B,Offsite,,
176,Dept_B,Offsite,,
177,Dept_B,Offsite,,
178,Dept_B,Offsite,,
179,Dept_B,Offsite,,
180,Dept_B,Offsite,,
181,Dept_B,2,7.0,40.0
182,Dept_B,2,2.0,8.0
183,Dept_B,Offsite,,
184,Dept_B,Offsite,,
185,Dept_B,2,3.0,15.0
186,Dept_B,Offsite,,
187,Dept_B,Offsite,,
188,Dept_B,Offsite,,
189,Dept_B,Offsite,,
190,Dept_B,2,3.0,13.0
191,Dept_B,Offsite,,
192,Dept_B,Offsite,,
193,Dept_B,Offsite,,
194,Dept_B,Offsite,,
195,Dept_B,2,1.0,3.0
196,Dept_B,Offsite,,
197,Dept_B,Offsite,,
198,Dept_B,Offsite,,
199,Dept_B,Offsite,,
200,Dept_B,Offsite,,
201,Dept_B,Offsite,,
202,Dept_B,Offsite,,
203,Dept_B,Offsite,,
204,Dept_B,Offsite,,
205,Dept_B,Offsite,,
206,Dept_B,Offsite,,
207,Dept_B,Offsite,,
208,Dept_B,Offsite,,
209,Dept_B,Offsite,,
210,Dept_B,Offsite,,
211,Dept_B,Offsite,,
212,Dept_B,Offsite,,
213,Dept_B,Offsite,,
214,Dept_B,Offsite,,
215,Dept_B,Offsite,,
216,Dept_C,2,4.0,21.0
217,Dept_C,2,8.0,47.0
218,Dept_C,Offsite,,
219,Dept_C,Offsite,,
220,Dept_C,Offsite,,
221,Dept_C,Offsite,,
222,Dept_C,2,7.0,42.0
223,Dept_C,Offsite,,
224,Dept_D,1,7.0,42.0
225,Dept_D,1,8.0,48.0
226,Dept_D,Offsite,,
227,Dept_D,Offsite,,
228,Dept_D,1,5.0,29.0
229,Dept_D,Offsite,,
230,Dept_D,1,1.0,1.0
231,Dept_E,2,4.0,19.0
232,Dept_E,2,4.0,23.0
233,Dept_E,Offsite,,
234,Dept_E,2,4.0,20.0
235,Dept_E,2,2.0,11.0
236,Dept_E,Offsite,,
237,Dept_E,2,1.0,4.0
238,Dept_E,Offsite,,
239,Dept_E,Offsite,,
240,Dept_F,2,8.0,44.0
241,Dept_F,Offsite,,
242,Dept_F,2,5.0,27.0
243,Dept_F,Offsite,,
244,Dept_F,Offsite,,
245,Dept_F,2,6.0,32.0
246,Dept_G,Offsite,,
247,Dept_G,Offsite,,
248,Dept_G,1,5.0,25.0
249,Dept_G,Offsite,,
250,Dept_G,1,5.0,26.0
251,Dept_G,1,5.0,28.0
252,Dept_G,1,8.0,43.0
253,Dept_H,Offsite,,
254,Dept_H,1,6.0,35.0
255,Dept_H,Offsite,,
256,Dept_H,1,3.0,18.0
257,Dept_H,1,7.0,41.0
258,Dept_H,Offsite,,
259,Dept_H,Offsite,,
260,Dept_H,Offsite,,
261,Dept_H,Offsite,,
262,Dept_H,1,7.0,38.0
263,Dept_H,1,3.0,16.0
264,Dept_H,Offsite,,
265,Dept_H,1,4.0,22.0
266,Dept_H,Offsite,,
267,Dept_H,1,3.0,17.0
268,Dept_H,Offsite,,
269,Dept_H,Offsite,,
270,Dept_H,Offsite,,
271,Dept_H,1,6.0,36.0
272,Dept_H,1,6.0,32.0
273,Dept_H,Offsite,,
274,Dept_H,1,2.0,12.0
275,Dept_H,1,1.0,5.0
276,Dept_H,1,7.0,40.0
277,Dept_H,Offsite,,
278,Dept_H,Offsite,,
279,Dept_H,1,7.0,37.0
280,Dept_H,Offsite,,
281,Dept_H,Offsite,,
282,Dept_H,1,8.0,45.0
283,Dept_H,1,1.0,4.0
284,Dept_H,Offsite,,
285,Dept_H,1,3.0,13.0
286,Dept_H,Offsite,,
287,Dept_H,Offsite,,
288,Dept_H,Offsite,,
289,Dept_H,1,3.0,15.0
290,Dept_H,Offsite,,
291,Dept_H,Offsite,,
292,Dept_H,Offsite,,
293,Dept_H,Offsite,,
294,Dept_H,1,5.0,30.0
295,Dept_H,Offsite,,
296,Dept_H,1,1.0,6.0
297,Dept_H,Offsite,,
298,Dept_H,1,4.0,20.0
299,Dept_H,1,6.0,31.0
300,Dept_H,Offsite,,
301,Dept_H,Offsite,,
302,Dept_H,Offsite,,
303,Dept_H,Offsite,,
304,Dept_H,1,4.0,24.0
305,Dept_H,Offsite,,
306,Dept_H,Offsite,,
307,Dept_H,Offsite,,
308,Dept_H,1,4.0,19.0
309,Dept_H,Offsite,,
310,Dept_H,Offsite,,
311,Dept_H,Offsite,,
312,Dept_H,1,2.0,9.0
313,Dept_H,Offsite,,
314,Dept_H,Offsite,,
315,Dept_H,Offsite,,
316,Dept_H,1,9.0,50.0
317,Dept_H,1,9.0,49.0
318,Dept_H,1,2.0,10.0
319,Dept_H,Offsite,,
320,Dept_H,Offsite,,
321,Dept_H,Offsite,,
322,Dept_H,Offsite,,
323,Dept_H,1,1.0,2.0
324,Dept_H,1,2.0,7.0
325,Dept_H,1,4.0,23.0
326,Dept_H,1,3.0,14.0
327,Dept_H,1,8.0,46.0
328,Dept_H,Offsite,,
329,Dept_H,Offsite,,
330,Dept_H,Offsite,,
331,Dept_H,1,8.0,44.0
332,Dept_H,Offsite,,
333,Dept_H,Offsite,,
334,Dept_H,1,2.0,11.0
335,Dept_H,1,5.0,27.0
336,Dept_H,Offsite,,
337,Dept_H,1,6.0,33.0
338,Dept_H,1,4.0,21.0
339,Dept_H,Offsite,,
340,Dept_H,Offsite,,
341,Dept_H,1,8.0,47.0
342,Dept_H,Offsite,,
343,Dept_H,1,1.0,3.0
344,Dept_H,1,7.0,39.0
345,Dept_H,Offsite,,
346,Dept_H,1,2.0,8.0
347,Dept_H,Offsite,,
348,Dept_H,Offsite,,
349,Dept_H,1,6.0,34.0
350,Dept_H,Offsite,,
