ID,Department,Assigned_Floor,Assigned_Table,Assigned_Seat
153,IVG,Offsite,,
163,IVG,Offsite,,
167,IVG,1,2.0,9.0
174,IVG,Offsite,,
178,IVG,Offsite,,
180,IVG,1,1.0,4.0
184,IVG,Offsite,,
186,IVG,Offsite,,
191,IVG,Offsite,,
195,IVG,Offsite,,
206,IVG,Offsite,,
265,JJR,2,5.0,28.0
269,JJR,Offsite,,
277,JJR,2,6.0,33.0
279,JJR,2,6.0,36.0
281,JJR,Offsite,,
287,JJR,Offsite,,
306,JJR,Offsite,,
313,JJR,Offsite,,
318,JJR,Offsite,,
321,JJR,Offsite,,
336,JJR,Offsite,,
347,JJR,Offsite,,
74,JUH,Offsite,,
80,JUH,1,6.0,34.0
82,JUH,Offsite,,
90,JUH,Offsite,,
105,JUH,Offsite,,
107,JUH,Offsite,,
114,JUH,Offsite,,
116,JUH,Offsite,,
121,JUH,Offsite,,
130,JUH,1,6.0,36.0
131,JUH,1,4.0,23.0
132,JUH,Offsite,,
136,JUH,Offsite,,
137,JUH,Offsite,,
322,KKP,1,8.0,47.0
326,KKP,Offsite,,
332,KKP,1,2.0,12.0
339,KKP,Offsite,,
345,KKP,1,7.0,40.0
240,MDG,Offsite,,
258,MDG,Offsite,,
260,MDG,Offsite,,
271,MDG,Offsite,,
275,MDG,Offsite,,
280,MDG,Offsite,,
286,MDG,Offsite,,
292,MDG,2,7.0,42.0
307,MDG,Offsite,,
320,MDG,2,1.0,5.0
13,MOA,Offsite,,
16,MOA,2,1.0,4.0
33,MOA,Offsite,,
34,MOA,2,7.0,38.0
47,MOA,2,1.0,6.0
49,MOA,Offsite,,
56,MOA,Offsite,,
57,MOA,Offsite,,
70,MOA,2,1.0,2.0
79,MOA,Offsite,,
93,MOA,Offsite,,
97,MOA,Offsite,,
285,MQV,Offsite,,
288,MQV,Offsite,,
296,MQV,Offsite,,
297,MQV,Offsite,,
299,MQV,Offsite,,
305,MQV,Offsite,,
327,MQV,2,7.0,37.0
328,MQV,2,8.0,44.0
331,MQV,Offsite,,
340,MQV,Offsite,,
12,MSH,Offsite,,
18,MSH,Offsite,,
24,MSH,Offsite,,
31,MSH,Offsite,,
40,MSH,Offsite,,
43,MSH,Offsite,,
44,MSH,Offsite,,
53,MSH,2,4.0,24.0
54,MSH,Offsite,,
58,MSH,Offsite,,
61,MSH,Offsite,,
64,MSH,Offsite,,
72,MSH,2,7.0,39.0
323,NCO,Offsite,,
330,NCO,1,1.0,1.0
344,NCO,Offsite,,
2,OEW,1,6.0,32.0
3,OEW,Offsite,,
9,OEW,1,6.0,31.0
17,OEW,1,1.0,3.0
28,OEW,Offsite,,
30,OEW,Offsite,,
38,OEW,1,5.0,30.0
39,OEW,Offsite,,
41,OEW,1,7.0,38.0
45,OEW,1,1.0,6.0
50,OEW,Offsite,,
315,OJA,1,3.0,13.0
317,OJA,Offsite,,
325,OJA,Offsite,,
333,OJA,Offsite,,
337,OJA,1,5.0,29.0
350,OJA,1,8.0,45.0
282,OUY,Offsite,,
298,OUY,2,8.0,45.0
316,OUY,Offsite,,
329,OUY,2,2.0,7.0
335,OUY,Offsite,,
338,OUY,2,3.0,17.0
348,OUY,Offsite,,
349,OUY,Offsite,,
303,PHY,Offsite,,
304,PHY,1,2.0,10.0
308,PHY,1,3.0,16.0
310,PHY,Offsite,,
311,PHY,1,8.0,48.0
334,PHY,Offsite,,
343,PHY,1,6.0,35.0
346,PHY,Offsite,,
1,QID,Offsite,,
11,QID,Offsite,,
29,QID,Offsite,,
35,QID,Offsite,,
42,QID,Offsite,,
55,QID,Offsite,,
75,QID,Offsite,,
78,QID,Offsite,,
89,QID,Offsite,,
94,QID,1,8.0,44.0
101,QID,1,7.0,37.0
104,QID,Offsite,,
145,QID,1,3.0,18.0
151,QID,1,4.0,24.0
154,QID,Offsite,,
215,SJD,Offsite,,
218,SJD,Offsite,,
250,SJD,Offsite,,
251,SJD,2,6.0,35.0
254,SJD,Offsite,,
262,SJD,Offsite,,
264,SJD,2,6.0,34.0
290,SJD,Offsite,,
291,SJD,Offsite,,
300,SJD,Offsite,,
301,SJD,Offsite,,
23,SNW,Offsite,,
46,SNW,Offsite,,
67,SNW,Offsite,,
73,SNW,1,5.0,25.0
100,SNW,Offsite,,
108,SNW,1,5.0,27.0
112,SNW,Offsite,,
118,SNW,1,4.0,21.0
125,SNW,Offsite,,
135,SNW,Offsite,,
138,SNW,Offsite,,
143,SNW,1,7.0,42.0
150,SNW,Offsite,,
6,SSF,Offsite,,
8,SSF,Offsite,,
14,SSF,Offsite,,
19,SSF,Offsite,,
20,SSF,Offsite,,
26,SSF,Offsite,,
27,SSF,Offsite,,
60,SSF,Offsite,,
62,SSF,Offsite,,
66,SSF,Offsite,,
76,SSF,Offsite,,
77,SSF,2,4.0,19.0
81,SSF,2,3.0,16.0
4,STK,1,2.0,8.0
5,STK,Offsite,,
7,STK,1,7.0,39.0
21,STK,1,5.0,28.0
25,STK,1,3.0,17.0
37,STK,Offsite,,
51,STK,Offsite,,
68,STK,1,1.0,5.0
83,STK,Offsite,,
84,STK,Offsite,,
85,STK,Offsite,,
95,STK,Offsite,,
203,TET,Offsite,,
208,TET,Offsite,,
209,TET,Offsite,,
214,TET,Offsite,,
216,TET,Offsite,,
221,TET,Offsite,,
225,TET,Offsite,,
232,TET,Offsite,,
236,TET,1,2.0,7.0
237,TET,Offsite,,
246,TET,1,9.0,50.0
255,TET,Offsite,,
259,TET,1,6.0,33.0
272,TET,1,1.0,2.0
278,TET,Offsite,,
141,TQC,Offsite,,
146,TQC,2,8.0,46.0
155,TQC,Offsite,,
157,TQC,Offsite,,
158,TQC,2,5.0,30.0
160,TQC,Offsite,,
161,TQC,2,6.0,31.0
171,TQC,Offsite,,
198,TQC,Offsite,,
205,TQC,Offsite,,
217,TQC,Offsite,,
230,WFF,Offsite,,
244,WFF,2,3.0,15.0
245,WFF,2,8.0,48.0
249,WFF,Offsite,,
252,WFF,Offsite,,
267,WFF,2,5.0,26.0
274,WFF,Offsite,,
276,WFF,Offsite,,
293,WFF,Offsite,,
302,WFF,Offsite,,
319,WFF,Offsite,,
120,WHH,1,4.0,19.0
122,WHH,1,9.0,49.0
126,WHH,Offsite,,
144,WHH,Offsite,,
147,WHH,1,4.0,22.0
162,WHH,1,3.0,15.0
164,WHH,Offsite,,
169,WHH,Offsite,,
170,WHH,Offsite,,
176,WHH,Offsite,,
197,WHH,Offsite,,
65,WKA,Offsite,,
69,WKA,Offsite,,
71,WKA,Offsite,,
103,WKA,Offsite,,
106,WKA,Offsite,,
119,WKA,Offsite,,
124,WKA,Offsite,,
128,WKA,2,2.0,12.0
133,WKA,2,5.0,27.0
134,WKA,Offsite,,
139,WKA,Offsite,,
148,WKA,2,6.0,32.0
152,XNI,Offsite,,
156,XNI,2,3.0,18.0
194,XNI,2,2.0,8.0
223,XNI,Offsite,,
241,XNI,Offsite,,
247,XNI,Offsite,,
253,XNI,2,3.0,13.0
256,XNI,2,4.0,20.0
257,XNI,2,7.0,41.0
263,XNI,Offsite,,
268,XNI,Offsite,,
270,XNI,Offsite,,
294,XNI,2,4.0,22.0
309,XNI,Offsite,,
312,XNI,Offsite,,
98,YTS,Offsite,,
99,YTS,2,2.0,10.0
113,YTS,Offsite,,
115,YTS,Offsite,,
117,YTS,Offsite,,
127,YTS,2,8.0,43.0
140,YTS,2,3.0,14.0
181,YTS,Offsite,,
183,YTS,Offsite,,
187,YTS,2,4.0,23.0
192,YTS,Offsite,,
196,YTS,Offsite,,
