ID,Department,Preferred_in_office_days,Department_ID,Days_at_client_site,Number_of_employees_in_department
45,Dept_A,"Thu,Mon",1,0,110
46,Dept_A,"Fri,Thu",1,2,110
47,Dept_A,"Mon,Tue",1,1,110
48,Dept_A,"Mon,Tue",1,1,110
49,Dept_A,"Thu,Tue",1,2,110
50,Dept_A,"Mon,Wed",1,1,110
51,Dept_A,"Thu,Mon",1,0,110
52,Dept_A,"Mon,Tue",1,1,110
53,Dept_A,"Fri,Tue",1,1,110
54,Dept_A,"Thu,Tue",1,1,110
55,Dept_A,"Thu,Mon",1,0,110
56,Dept_A,"Fri,Tue",1,0,110
57,Dept_A,"Tue,Thu",1,2,110
58,Dept_A,"Fri,Thu",1,2,110
59,Dept_A,"Mon,Tue",1,0,110
60,Dept_A,"Mon,Fri",1,1,110
61,Dept_A,"Mon,Tue",1,0,110
62,Dept_A,"Wed,Tue",1,0,110
63,Dept_A,"Wed,Tue",1,0,110
64,Dept_A,"Mon,Tue",1,0,110
65,Dept_A,"Mon,Thu",1,1,110
66,Dept_A,"Thu,Fri",1,1,110
67,Dept_A,"Fri,Tue",1,1,110
68,Dept_A,"Wed,Fri",1,0,110
69,Dept_A,"Thu,Tue",1,0,110
70,Dept_A,"Mon,Thu",1,0,110
71,Dept_A,"Wed,Thu",1,1,110
72,Dept_A,"Wed,Thu",1,2,110
73,Dept_A,"Mon,Thu",1,0,110
74,Dept_A,"Thu,Fri",1,0,110
75,Dept_A,"Fri,Thu",1,2,110
76,Dept_A,"Tue,Fri",1,1,110
77,Dept_A,"Tue,Mon",1,0,110
78,Dept_A,"Fri,Wed",1,1,110
79,Dept_A,"Thu,Wed",1,1,110
80,Dept_A,"Fri,Thu",1,1,110
81,Dept_A,"Thu,Mon",1,2,110
82,Dept_A,"Thu,Tue",1,2,110
83,Dept_A,"Wed,Tue",1,2,110
84,Dept_A,"Tue,Fri",1,1,110
85,Dept_A,"Fri,Tue",1,0,110
86,Dept_A,"Thu,Fri",1,2,110
87,Dept_A,"Wed,Thu",1,1,110
88,Dept_A,"Fri,Thu",1,1,110
89,Dept_A,"Thu,Tue",1,2,110
90,Dept_A,"Mon,Thu",1,0,110
91,Dept_A,"Mon,Fri",1,1,110
92,Dept_A,"Mon,Wed",1,1,110
93,Dept_A,"Wed,Tue",1,2,110
94,Dept_A,"Mon,Thu",1,2,110
95,Dept_A,"Mon,Thu",1,0,110
96,Dept_A,"Fri,Thu",1,0,110
97,Dept_A,"Mon,Tue",1,0,110
98,Dept_A,"Thu,Fri",1,1,110
99,Dept_A,"Mon,Fri",1,1,110
100,Dept_A,"Fri,Wed",1,2,110
101,Dept_A,"Fri,Wed",1,0,110
102,Dept_A,"Tue,Thu",1,0,110
103,Dept_A,"Tue,Wed",1,0,110
104,Dept_A,"Wed,Mon",1,0,110
105,Dept_A,"Tue,Wed",1,0,110
106,Dept_A,"Thu,Tue",1,1,110
107,Dept_A,"Fri,Thu",1,1,110
108,Dept_A,"Mon,Thu",1,0,110
109,Dept_A,"Thu,Mon",1,1,110
110,Dept_A,"Fri,Thu",1,0,110
111,Dept_B,"Mon,Fri",2,0,105
112,Dept_B,"Thu,Mon",2,0,105
113,Dept_B,"Tue,Mon",2,0,105
114,Dept_B,"Wed,Tue",2,0,105
115,Dept_B,"Mon,Wed",2,1,105
116,Dept_B,"Mon,Fri",2,1,105
117,Dept_B,"Mon,Wed",2,2,105
118,Dept_B,"Fri,Thu",2,2,105
119,Dept_B,"Thu,Mon",2,2,105
120,Dept_B,"Thu,Mon",2,0,105
121,Dept_B,"Thu,Wed",2,0,105
122,Dept_B,"Tue,Wed",2,0,105
123,Dept_B,"Fri,Wed",2,0,105
124,Dept_B,"Thu,Mon",2,0,105
125,Dept_B,"Mon,Fri",2,0,105
126,Dept_B,"Thu,Mon",2,0,105
127,Dept_B,"Thu,Wed",2,0,105
128,Dept_B,"Fri,Mon",2,2,105
129,Dept_B,"Wed,Mon",2,2,105
130,Dept_B,"Wed,Tue",2,0,105
131,Dept_B,"Thu,Tue",2,2,105
132,Dept_B,"Fri,Tue",2,2,105
133,Dept_B,"Thu,Tue",2,1,105
134,Dept_B,"Wed,Tue",2,0,105
135,Dept_B,"Fri,Mon",2,2,105
136,Dept_B,"Wed,Fri",2,0,105
137,Dept_B,"Thu,Wed",2,0,105
138,Dept_B,"Tue,Fri",2,2,105
139,Dept_B,"Mon,Tue",2,0,105
140,Dept_B,"Fri,Tue",2,1,105
141,Dept_B,"Wed,Thu",2,1,105
142,Dept_B,"Wed,Mon",2,0,105
143,Dept_B,"Tue,Wed",2,2,105
144,Dept_B,"Mon,Wed",2,0,105
145,Dept_B,"Fri,Wed",2,2,105
146,Dept_B,"Mon,Wed",2,1,105
147,Dept_B,"Tue,Wed",2,0,105
148,Dept_B,"Fri,Thu",2,1,105
149,Dept_B,"Thu,Fri",2,1,105
150,Dept_B,"Mon,Fri",2,1,105
151,Dept_B,"Wed,Fri",2,2,105
152,Dept_B,"Mon,Tue",2,0,105
153,Dept_B,"Thu,Wed",2,0,105
154,Dept_B,"Fri,Tue",2,0,105
155,Dept_B,"Mon,Thu",2,2,105
156,Dept_B,"Mon,Wed",2,2,105
157,Dept_B,"Wed,Thu",2,1,105
158,Dept_B,"Tue,Fri",2,1,105
159,Dept_B,"Wed,Mon",2,2,105
160,Dept_B,"Tue,Wed",2,0,105
161,Dept_B,"Wed,Thu",2,0,105
162,Dept_B,"Fri,Mon",2,0,105
163,Dept_B,"Mon,Thu",2,2,105
164,Dept_B,"Wed,Fri",2,2,105
165,Dept_B,"Wed,Mon",2,2,105
166,Dept_B,"Thu,Wed",2,0,105
167,Dept_B,"Mon,Wed",2,2,105
168,Dept_B,"Tue,Fri",2,0,105
169,Dept_B,"Tue,Fri",2,0,105
170,Dept_B,"Thu,Mon",2,1,105
171,Dept_B,"Thu,Tue",2,2,105
172,Dept_B,"Wed,Fri",2,0,105
173,Dept_B,"Thu,Fri",2,1,105
174,Dept_B,"Thu,Tue",2,0,105
175,Dept_B,"Tue,Wed",2,1,105
176,Dept_B,"Mon,Tue",2,0,105
177,Dept_B,"Thu,Fri",2,0,105
178,Dept_B,"Wed,Thu",2,1,105
179,Dept_B,"Tue,Mon",2,2,105
180,Dept_B,"Fri,Mon",2,0,105
181,Dept_B,"Wed,Fri",2,0,105
182,Dept_B,"Tue,Thu",2,0,105
183,Dept_B,"Tue,Fri",2,1,105
184,Dept_B,"Tue,Mon",2,1,105
185,Dept_B,"Thu,Tue",2,0,105
186,Dept_B,"Fri,Mon",2,0,105
187,Dept_B,"Wed,Fri",2,2,105
188,Dept_B,"Fri,Wed",2,1,105
189,Dept_B,"Mon,Thu",2,0,105
190,Dept_B,"Mon,Tue",2,0,105
191,Dept_B,"Wed,Mon",2,0,105
192,Dept_B,"Wed,Fri",2,2,105
193,Dept_B,"Tue,Fri",2,1,105
194,Dept_B,"Tue,Thu",2,0,105
195,Dept_B,"Tue,Fri",2,0,105
196,Dept_B,"Wed,Thu",2,2,105
197,Dept_B,"Mon,Thu",2,0,105
198,Dept_B,"Thu,Mon",2,2,105
199,Dept_B,"Mon,Fri",2,0,105
200,Dept_B,"Mon,Fri",2,0,105
201,Dept_B,"Mon,Wed",2,2,105
202,Dept_B,"Tue,Fri",2,0,105
203,Dept_B,"Wed,Mon",2,1,105
204,Dept_B,"Wed,Mon",2,2,105
205,Dept_B,"Tue,Fri",2,0,105
206,Dept_B,"Thu,Wed",2,1,105
207,Dept_B,"Fri,Tue",2,0,105
208,Dept_B,"Wed,Fri",2,0,105
209,Dept_B,"Thu,Mon",2,1,105
210,Dept_B,"Thu,Wed",2,1,105
211,Dept_B,"Thu,Wed",2,1,105
212,Dept_B,"Mon,Tue",2,2,105
213,Dept_B,"Thu,Fri",2,1,105
214,Dept_B,"Mon,Thu",2,1,105
215,Dept_B,"Fri,Thu",2,0,105
216,Dept_C,"Mon,Thu",3,0,8
217,Dept_C,"Thu,Wed",3,0,8
218,Dept_C,"Wed,Thu",3,1,8
219,Dept_C,"Wed,Fri",3,1,8
220,Dept_C,"Wed,Mon",3,2,8
221,Dept_C,"Mon,Thu",3,1,8
222,Dept_C,"Thu,Mon",3,2,8
223,Dept_C,"Tue,Fri",3,0,8
224,Dept_D,"Fri,Thu",4,0,7
225,Dept_D,"Tue,Mon",4,0,7
226,Dept_D,"Wed,Mon",4,0,7
227,Dept_D,"Thu,Mon",4,0,7
228,Dept_D,"Mon,Tue",4,2,7
229,Dept_D,"Thu,Wed",4,0,7
230,Dept_D,"Thu,Fri",4,1,7
231,Dept_E,"Fri,Mon",5,0,9
232,Dept_E,"Fri,Wed",5,2,9
233,Dept_E,"Mon,Wed",5,2,9
234,Dept_E,"Fri,Wed",5,0,9
235,Dept_E,"Tue,Thu",5,0,9
236,Dept_E,"Mon,Thu",5,1,9
237,Dept_E,"Mon,Thu",5,0,9
238,Dept_E,"Tue,Fri",5,0,9
239,Dept_E,"Mon,Fri",5,0,9
240,Dept_F,"Fri,Thu",6,2,6
241,Dept_F,"Fri,Thu",6,0,6
242,Dept_F,"Wed,Thu",6,0,6
243,Dept_F,"Thu,Mon",6,2,6
244,Dept_F,"Mon,Fri",6,1,6
245,Dept_F,"Thu,Mon",6,2,6
246,Dept_G,"Mon,Thu",7,0,7
247,Dept_G,"Tue,Mon",7,0,7
248,Dept_G,"Mon,Wed",7,1,7
249,Dept_G,"Wed,Mon",7,1,7
250,Dept_G,"Wed,Fri",7,0,7
251,Dept_G,"Thu,Wed",7,0,7
252,Dept_G,"Tue,Wed",7,1,7
253,Dept_H,"Mon,Tue",8,1,98
254,Dept_H,"Mon,Wed",8,2,98
255,Dept_H,"Mon,Tue",8,0,98
256,Dept_H,"Fri,Thu",8,0,98
257,Dept_H,"Mon,Wed",8,0,98
258,Dept_H,"Fri,Thu",8,0,98
259,Dept_H,"Thu,Mon",8,2,98
260,Dept_H,"Tue,Mon",8,0,98
261,Dept_H,"Fri,Wed",8,0,98
262,Dept_H,"Wed,Thu",8,1,98
263,Dept_H,"Fri,Mon",8,1,98
264,Dept_H,"Mon,Tue",8,2,98
265,Dept_H,"Mon,Tue",8,0,98
266,Dept_H,"Wed,Mon",8,1,98
267,Dept_H,"Tue,Mon",8,1,98
268,Dept_H,"Mon,Fri",8,1,98
269,Dept_H,"Thu,Tue",8,1,98
270,Dept_H,"Thu,Mon",8,1,98
271,Dept_H,"Tue,Fri",8,2,98
272,Dept_H,"Mon,Wed",8,0,98
273,Dept_H,"Fri,Wed",8,2,98
274,Dept_H,"Thu,Tue",8,1,98
275,Dept_H,"Mon,Fri",8,1,98
276,Dept_H,"Tue,Fri",8,0,98
277,Dept_H,"Wed,Tue",8,1,98
278,Dept_H,"Tue,Mon",8,0,98
279,Dept_H,"Wed,Fri",8,0,98
280,Dept_H,"Tue,Wed",8,0,98
281,Dept_H,"Fri,Wed",8,0,98
282,Dept_H,"Mon,Thu",8,0,98
283,Dept_H,"Tue,Mon",8,1,98
284,Dept_H,"Thu,Tue",8,2,98
285,Dept_H,"Thu,Fri",8,0,98
286,Dept_H,"Fri,Mon",8,0,98
287,Dept_H,"Fri,Mon",8,1,98
288,Dept_H,"Tue,Mon",8,0,98
289,Dept_H,"Fri,Wed",8,0,98
290,Dept_H,"Thu,Tue",8,2,98
291,Dept_H,"Fri,Mon",8,0,98
292,Dept_H,"Thu,Mon",8,0,98
293,Dept_H,"Tue,Fri",8,0,98
294,Dept_H,"Wed,Fri",8,2,98
295,Dept_H,"Fri,Mon",8,0,98
296,Dept_H,"Thu,Mon",8,0,98
297,Dept_H,"Fri,Wed",8,2,98
298,Dept_H,"Fri,Wed",8,0,98
299,Dept_H,"Tue,Thu",8,2,98
300,Dept_H,"Thu,Tue",8,2,98
301,Dept_H,"Tue,Wed",8,1,98
302,Dept_H,"Fri,Tue",8,0,98
303,Dept_H,"Fri,Mon",8,0,98
304,Dept_H,"Thu,Fri",8,1,98
305,Dept_H,"Mon,Tue",8,0,98
306,Dept_H,"Mon,Fri",8,2,98
307,Dept_H,"Fri,Thu",8,0,98
308,Dept_H,"Thu,Wed",8,0,98
309,Dept_H,"Mon,Thu",8,1,98
310,Dept_H,"Tue,Thu",8,2,98
311,Dept_H,"Tue,Fri",8,0,98
312,Dept_H,"Thu,Wed",8,2,98
313,Dept_H,"Tue,Thu",8,2,98
314,Dept_H,"Tue,Thu",8,0,98
315,Dept_H,"Tue,Mon",8,0,98
316,Dept_H,"Tue,Thu",8,2,98
317,Dept_H,"Thu,Tue",8,0,98
318,Dept_H,"Wed,Fri",8,0,98
319,Dept_H,"Mon,Wed",8,0,98
320,Dept_H,"Mon,Thu",8,1,98
321,Dept_H,"Mon,Thu",8,2,98
322,Dept_H,"Wed,Tue",8,2,98
323,Dept_H,"Thu,Tue",8,2,98
324,Dept_H,"Mon,Fri",8,0,98
325,Dept_H,"Tue,Mon",8,0,98
326,Dept_H,"Thu,Tue",8,0,98
327,Dept_H,"Thu,Fri",8,2,98
328,Dept_H,"Mon,Wed",8,2,98
329,Dept_H,"Tue,Mon",8,1,98
330,Dept_H,"Wed,Fri",8,2,98
331,Dept_H,"Thu,Fri",8,0,98
332,Dept_H,"Thu,Tue",8,2,98
333,Dept_H,"Fri,Tue",8,0,98
334,Dept_H,"Wed,Thu",8,0,98
335,Dept_H,"Mon,Tue",8,1,98
336,Dept_H,"Tue,Wed",8,1,98
337,Dept_H,"Fri,Tue",8,0,98
338,Dept_H,"Fri,Thu",8,0,98
339,Dept_H,"Wed,Thu",8,1,98
340,Dept_H,"Thu,Mon",8,0,98
341,Dept_H,"Wed,Tue",8,2,98
342,Dept_H,"Mon,Tue",8,2,98
343,Dept_H,"Thu,Fri",8,1,98
344,Dept_H,"Fri,Tue",8,2,98
345,Dept_H,"Tue,Wed",8,2,98
346,Dept_H,"Thu,Mon",8,2,98
347,Dept_H,"Thu,Wed",8,1,98
348,Dept_H,"Thu,Mon",8,1,98
349,Dept_H,"Tue,Mon",8,0,98
350,Dept_H,"Fri,Wed",8,0,98
